145	100	
20	61	16
93	98	18
49	76	14
58	61	2
56	89	9
44	94	11
61	74	6
58	78	15
32	46	11
48	54	15
47	86	3
12	54	13
81	82	5
81	93	9
49	67	7
69	78	11
57	79	13
6	87	5
38	97	11
3	82	15
9	82	16
38	52	10
3	42	11
27	73	3
27	91	20
80	88	18
83	91	2
2	22	1
36	39	17
66	81	15
29	84	11
66	99	17
74	85	13
97	99	8
19	71	3
42	56	20
33	47	8
23	76	8
71	87	10
73	75	12
29	56	10
18	99	14
55	89	7
27	77	3
86	90	1
95	98	16
11	72	6
3	15	8
71	75	12
78	79	12
21	78	6
95	97	10
38	45	7
18	20	14
89	98	3
76	83	19
62	89	3
55	80	20
45	76	3
37	75	14
5	35	17
61	93	1
19	96	16
65	84	1
74	94	8
83	99	15
85	88	19
51	63	20
57	68	2
63	82	4
3	20	19
84	95	9
11	65	9
10	90	20
43	82	10
83	88	11
41	83	19
2	11	14
26	42	14
31	49	13
59	94	4
95	99	9
50	92	19
50	51	13
35	73	10
25	60	7
36	84	13
42	64	15
20	74	2
61	95	2
92	96	14
84	89	15
26	82	19
34	58	19
89	94	9
67	70	5
97	98	7
73	85	17
0	41	16
44	85	7
0	1	9
0	2	14
1	3	14
2	4	4
0	5	16
0	6	6
3	7	6
4	8	3
5	9	8
6	10	13
1	12	18
1	13	1
7	14	8
7	16	4
11	17	14
5	18	8
10	19	9
9	21	13
6	23	20
20	24	8
23	25	18
11	26	19
2	27	15
2	28	6
3	29	11
26	30	16
18	31	5
13	32	9
4	33	20
13	34	10
23	36	4
30	37	10
6	38	3
23	40	8
23	43	19
5	44	10
7	48	5
16	50	17
12	53	11
33	55	2
3	57	16
52	59	1
25	62	2
1	66	14
8	69	12
