308	100	
62	81	14
74	75	10
4	67	11
32	69	18
16	75	20
11	89	9
59	64	4
95	99	5
95	97	14
90	96	3
24	29	7
58	98	1
63	98	10
61	90	9
97	99	12
36	46	6
90	91	13
38	85	7
98	99	13
29	89	20
12	76	2
55	62	9
90	97	18
26	79	11
54	67	15
58	85	17
24	99	5
55	95	11
91	94	4
60	82	8
87	88	6
42	52	3
56	71	16
73	82	10
20	49	12
61	83	7
3	42	5
88	89	2
52	79	11
68	88	7
37	99	8
85	87	13
52	88	10
11	18	5
80	90	14
42	57	11
37	42	11
22	55	3
82	98	5
93	97	2
41	56	6
54	60	20
19	91	12
14	84	10
22	37	11
7	61	5
93	96	11
79	91	7
72	82	6
60	70	2
50	51	10
4	39	1
57	75	10
87	95	16
94	99	19
25	81	16
71	96	14
92	97	5
4	54	13
92	96	7
20	78	12
62	72	18
33	84	18
5	64	19
62	93	19
16	93	5
41	95	1
92	94	9
48	65	7
91	92	12
16	84	11
77	81	11
70	79	9
32	57	13
12	71	4
31	33	4
7	38	14
17	66	20
28	31	15
46	81	8
61	73	9
23	58	20
88	99	17
74	77	15
73	77	16
15	66	2
62	92	20
85	97	3
25	74	14
22	50	6
16	45	3
92	99	8
25	71	12
7	18	19
53	57	20
82	85	15
41	74	3
87	90	20
77	95	14
9	48	10
24	94	15
81	96	10
14	64	11
57	68	19
37	57	3
14	37	15
38	47	1
75	79	6
3	55	3
45	89	19
23	66	18
3	17	15
24	52	20
7	88	8
18	54	19
24	56	1
72	89	7
19	90	9
11	57	10
44	75	6
4	72	4
72	98	3
18	55	5
1	70	3
62	63	11
0	48	4
80	81	14
7	55	20
85	99	3
75	90	19
68	83	2
58	86	7
23	57	6
30	92	1
30	39	16
50	64	17
34	85	17
13	94	20
52	85	17
68	81	10
85	86	11
59	97	2
79	82	15
40	90	7
17	87	13
83	87	9
28	93	19
50	99	16
30	87	2
91	96	13
30	38	6
49	71	20
55	75	12
75	78	20
68	99	20
36	90	9
68	96	19
23	61	11
24	35	4
54	88	17
32	63	18
80	86	17
28	65	19
53	71	9
22	29	16
57	84	19
48	99	15
44	57	17
28	63	8
5	71	13
93	95	13
20	70	14
67	88	16
18	68	17
43	86	17
63	99	7
46	58	13
55	73	12
27	93	16
67	83	16
90	95	16
55	61	2
55	88	1
45	48	17
75	87	4
80	91	6
46	62	7
71	75	6
8	91	15
23	60	12
52	67	10
37	86	18
68	95	19
47	85	20
68	94	6
29	60	15
45	99	18
74	87	2
62	74	2
3	87	3
0	83	12
36	87	1
8	85	9
53	76	4
12	35	1
1	98	19
74	82	2
37	73	17
21	25	5
9	57	13
62	77	1
43	82	15
11	68	17
14	39	20
24	32	12
18	41	11
39	91	9
3	94	13
26	34	20
65	92	20
67	91	6
2	75	17
39	92	17
65	89	9
31	75	2
56	95	3
65	93	9
46	57	19
34	64	19
15	97	16
77	87	19
65	81	2
66	81	8
77	82	16
22	91	7
47	92	8
47	72	20
51	83	4
96	98	10
70	85	13
12	30	5
67	79	20
66	87	13
23	90	16
66	82	15
37	88	3
61	82	5
83	95	17
57	85	14
45	58	3
81	92	11
30	71	6
12	98	8
15	24	20
9	19	6
84	90	7
11	49	14
57	83	17
2	44	16
42	90	6
46	82	17
80	95	20
68	76	2
39	45	10
96	97	1
93	94	8
17	50	1
38	81	7
51	53	8
34	62	7
0	1	14
1	2	5
1	3	5
1	4	4
2	5	1
0	6	20
3	7	9
1	8	14
6	9	9
6	10	13
4	11	9
11	12	20
12	13	8
12	14	11
8	15	12
8	16	11
11	20	16
16	21	8
20	22	16
21	23	11
24	26	6
8	27	3
11	28	12
16	36	5
30	40	15
4	43	2
29	59	15
32	80	4
